trial,coCond Force(0) Move(1),ffCond0 [N/(mm/s)],ffCond1 [N/(mm/s)],ffCond2 [N/(mm/s)],ffCond3 [N/(mm/s)],ffCond4 [N/(mm/s)],ffCond5 [N/(mm/s)],ffCond6 [N/(mm/s)],ffCond7 [N/(mm/s)],vmCond [deg],targetAngle[deg],targetDistance[mm],targetForce[N],targetColor,errorCramp
1,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.000000
fs[Hz],recordTime[ms],maxSample,ks[N/mm],kb[N/(mm/s)],kConnection[N/mm],dConnection[N/(mm/s)],VisNoisePosSTD,VisNoiseVelSTD,ConnectionType
1000,15000,15001,0.800000,0.000100,0.100000,0.000100,10.0,5.0,0
targetRadius[mm],cursorRadius[mm],pOffset[mm], , ,dOffset
5.000000,3.000000,0.000000,450.000000,10.000000,0.000000,0.000000,0.000000
p2dScale,p2dScaleForForce,p2dMatrix
1.000000,-nan(ind),1.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,1.000000,0.000000
 , , ,
 , , ,
 , , ,
time[ms],instRate[Hz],posX[mm],posY[mm],posZ[mm],velX[mm],velY[mm],velZ[mm],forceX[N],forceY[N],forceZ[N],TargetX,TargetY
10456,1010.235901,6.278604,160.377609,-0.352600,-0.201165,-0.020762,0.001395,0.000000,-0.000000,0.282080,25.282221,12.465090
10457,988.596130,6.278604,160.377609,-0.352600,-0.146155,-0.015085,0.001013,0.000000,-0.000000,0.282080,25.491010,12.565818
10458,984.987061,6.278604,160.377609,-0.352600,-0.106188,-0.010960,0.000736,0.000000,-0.000000,0.282080,25.699413,12.666128
10459,1011.109558,6.278604,160.377609,-0.352600,-0.077150,-0.007963,0.000535,0.000000,-0.000000,0.282080,25.907425,12.766019
10460,967.063416,6.278604,160.377609,-0.352600,-0.056053,-0.005785,0.000389,0.000000,-0.000000,0.282080,26.115044,12.865487
10461,1045.466187,6.278604,160.377609,-0.352600,-0.040725,-0.004203,0.000282,0.000000,-0.000000,0.282080,26.322267,12.964528
10462,970.810669,6.278604,160.377609,-0.352600,-0.029588,-0.003054,0.000205,0.000000,-0.000000,0.282080,26.529090,13.063140
10463,1015.794678,6.278604,160.377609,-0.352600,-0.021497,-0.002219,0.000149,0.000000,-0.000000,0.282080,26.735511,13.161320
10464,1013.153931,6.278604,160.377609,-0.352600,-0.015619,-0.001612,0.000108,0.000000,-0.000000,0.282080,26.941526,13.259065
10465,997.877380,6.278604,160.377609,-0.352600,-0.011348,-0.001171,0.000079,0.000000,-0.000000,0.282080,27.147133,13.356371
